video_id,video_title,description,channel_id,channel_name,published_at,duration_sec,duration_min,is_shorts_guess,view_count,like_count,comment_count,video_url,channel_subscriber_count,channel_video_count,matched_perf_id,matched_title,matched_genre,matched_venue,matched_perf_start,matched_perf_end,video_type,source_type,notes,date_signal,venue_signal,hashtag_categories,is_condensed_official,explicit_title_quote_match,signal_score,suggested_status,flag_reason
a96U2mE1B20,"(한국어 자막) 신데렐라""의 피날레 아리아 ""고난과 눈물 속에서 태어나"" 2017년 국립 오페라단 공연 실황 녹음","(음질이 좋지 않음을 미리 양해 부탁 드립니다^^;;)

로시니 오페라 ""신데렐라 La Cenerentola"" 중,
신데렐라의 해피 엔딩 아리아,
""고난과 눈물 속에서 태어나(Nacqui all'affanno)""

지나 오, 체네렌톨라
양진모, 지휘

국립오페라단 2017년 프로덕션

Jina Oh, Cenerentola
Jinmo Yang, Conductor

2017 Production of Korea National Opera",UCA3yL-hnGUtSEwv4X_VUaFA,지나 오페라 | Jina Oh OPERA,2023-05-14T14:52:33Z,420,7.0,False,416,12,4,https://www.youtube.com/watch?v=a96U2mE1B20,3020,132,PF243639,"제15회 광주시립오페라단 정기공연, 신데렐라 [광주]",서양음악(클래식),국립아시아문화전당 극장2,2024-07-26,2024-07-27,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
qyQYmv9mPRc,보디빌더가 시합 포기하고 매일 잠실 가는 이유 | 팟캐스트 #98 | 훈수두는 이코치,"#거짓말탐지기 #가짜내추럴 

드미크로 팟캐스트 스튜디오 : https://deuxmicros.com

출연자 : 이해민 | @이코치 

🤝🏼 채널 공식 스폰서 by

👕(의류) : 디터민드
https://dtmdgear.com/

🎬(미디어팀) : 프리덤
https://freedomwhatever.com/

💪🏾(보충제) : 삼대오백
https://samdae500.com/
15% 할인 CODE : TFE15

🦾(GEAR) : 제로투히어로
https://zerotohero.co.kr/

🌐(컬렉터블) : 프로젝트 이야기
https://projectiyagi.com

⛏️(원판, 덤벨) : XMASTER
https://www.instagram.com/xmasterfitness.korea

🖋 팟캐스트 비지니스 문의
wnsghdmlskfk@gmail.com

타임라인

00:00:00 인트로
00:01:05 프로젝트 이야기 소개
00:01:57 팟캐스트 시작
00:55:18 삼대오백 바이퍼 신규 2종
00:56:20 팟캐스트 재개",UCgUmXnb08jZ6Ser6YoFGQBg,TFE 트포이,2026-07-06T10:00:37Z,5241,87.35,False,21818,573,267,https://www.youtube.com/watch?v=qyQYmv9mPRc,185000,2399,PF252148,클래식은 내 친구 [성남],서양음악(클래식),성남아트센터 콘서트홀,2024-11-05,2024-11-05,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
NPCs5SaSnrg,20220508 성남FC전 고영준 결승골,#Kleague #k리그 #pohang #고영준 #pohangsteelers #포항스틸러스 #gaol #골영상 #성남 #성남fc,UCbRIH8QHtDUbaHrwpcJYNuQ,모쏠라이프,2022-05-08T16:33:49Z,16,0.27,True,922,22,0,https://www.youtube.com/watch?v=NPCs5SaSnrg,468,406,PF252148,클래식은 내 친구 [성남],서양음악(클래식),성남아트센터 콘서트홀,2024-11-05,2024-11-05,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
CgWMmaLN0x8,모드의 중요성 #minecraft #마인크래프트 #subscribe #shorts #mha,,UCMCrSTxkgLDyLJ0UgA1W7OA,Villager_MC,2025-05-07T22:00:18Z,14,0.23,True,1693762,12567,256,https://www.youtube.com/watch?v=CgWMmaLN0x8,109000,1288,PF252148,클래식은 내 친구 [성남],서양음악(클래식),성남아트센터 콘서트홀,2024-11-05,2024-11-05,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
xVE49nZhxAY,IRL - ㅗㅜㅑ 의자에서 일어나기만 했는데 리액션 되네,"Hey, this channel will upload clips from twitch. if the video has bugs or anything related to bugs please report. The twitch clip belongs to 신재은_, check his/her twitch channel at: https://www.twitch.tv/zennyrtlove. All copyrights reserved to their respective owners.",UCzU4DDO_IP-uRuAKFXkjIcA,TwitchPP,2018-11-02T15:30:59Z,29,0.48,True,8271014,26773,1311,https://www.youtube.com/watch?v=xVE49nZhxAY,6240,4018,PF252148,클래식은 내 친구 [성남],서양음악(클래식),성남아트센터 콘서트홀,2024-11-05,2024-11-05,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
kNUmqwalq9Q,무명 가수의 반전 히트곡ㄷㄷ #shorts,좋아요&구독은 큰 힘이 됩니다👍,UCWc1upxyUQFWByte08HTGLA,웃긴 테레비,2025-10-22T10:01:24Z,48,0.8,True,8783814,46619,663,https://www.youtube.com/watch?v=kNUmqwalq9Q,531000,6224,PF252148,클래식은 내 친구 [성남],서양음악(클래식),성남아트센터 콘서트홀,2024-11-05,2024-11-05,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
tzY1YCdVrjg,N.Flying (엔플라잉) – Flashback (LIVE ver.),"2022 N.Flying LIVE '&CON' - Man on the Moon
N.Flying (엔플라잉) – Flashback (LIVE ver.)

행복했던 &CON, 영원히 이 순간을 회상하며 
놓치지 않은 행복인 걸 깨닫는 시간이 되길! 

▷OFFICIAL HOMEPAGE : https://fncent.com/NFLYING
▷OFFICIAL FANCAFE : http://cafe.daum.net/N.Flying
▷OFFICIAL FACEBOOK : https://www.facebook.com/officialnflying
▷OFFICIAL TWITTER : https://twitter.com/NFlyingofficial
▷OFFICIAL INSTAGRAM : https://instagram.com/letsroll_nf
▷OFFICIAL WEIBO : https://www.weibo.com/nflyingofficial

#NFlying #엔플라잉 #이승협 #차훈 #김재현 #유회승 #서동성 #LeeSeungHyub #ChaHun #KimJaeHyun #YooHweSeung #SeoDongSung #엔콘 #Man_on_the_Moon #Flashback",UC8vm0EzlH9mRHwnTLILpQjQ,N.Flying (엔플라잉),2022-02-27T10:00:33Z,368,6.13,False,2525457,39906,1616,https://www.youtube.com/watch?v=tzY1YCdVrjg,530000,883,PF252148,클래식은 내 친구 [성남],서양음악(클래식),성남아트센터 콘서트홀,2024-11-05,2024-11-05,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
RE24rz6ZR-4,이런게 진짜 연설이지 | 연설의 고수 #Shorts,"2002년 국민경선부터 후보 단일화, 제16대 대통령 당선까지 대선승리의 기록을 #Shorts 로 만나봅니다. 

Ep1
'노무현이 만난 링컨' 출판기념회, 2001.12.10.

노무현재단은 후원회원 한분 한분이 보내주시는 소중한 후원금으로 운영됩니다. 
여러분의 후원이 세상을 바꾸고, 대한민국의 미래를 만들어갑니다.
　
 ◎ 사람사는세상 노무현재단 공식 SNS
홈페이지  http://www.knowhow.or.kr
후원안내  1688-0523

페이스북 https://www.facebook.com/rmoohyun
인스타그램 https://www.instagram.com/rohmoohyunfoundation
유튜브 https://www.youtube.com/c/사람사는세상노무현재단
트위터 https://twitter.com/RohFoundation
노무현사료관 http://archives.knowhow.or.kr",UCJS9VvReVkplPwCIbxnbsjQ,사람사는세상노무현재단 RohMoohyunFoundation,2022-01-10T09:00:31Z,34,0.57,True,6583858,177677,12923,https://www.youtube.com/watch?v=RE24rz6ZR-4,1680000,2026,PF252148,클래식은 내 친구 [성남],서양음악(클래식),성남아트센터 콘서트홀,2024-11-05,2024-11-05,,,,mismatch,none,0,False,False,-2,delete_candidate,날짜 불일치(다른 회차 가능성)
WoF62flQLxA,로블록스에서 가장 안 무서운 공포 게임,"#shorts 

로블록스",UCkfJbfh3g7HKo2CK_fEyFFw,진진부기,2025-08-20T03:49:13Z,44,0.73,True,667100,4764,53,https://www.youtube.com/watch?v=WoF62flQLxA,74300,184,PF252148,클래식은 내 친구 [성남],서양음악(클래식),성남아트센터 콘서트홀,2024-11-05,2024-11-05,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
mlAW3DK_658,#대단하다 #담엔안무를 #열이올라요 #헬멧을쓰면 #여라하진 #여자라이더 #shorts #harleydavidson  #할리 #여라,,UCe-hbfQ7XHWvy8AGlXQmYaA,할리타는 언니  ,2022-08-10T02:25:25Z,8,0.13,True,3323,16,0,https://www.youtube.com/watch?v=mlAW3DK_658,350,163,PF252148,클래식은 내 친구 [성남],서양음악(클래식),성남아트센터 콘서트홀,2024-11-05,2024-11-05,,,,none,none,0,False,False,0,no_strong_signal,신호 없음
